1 0.721  0.009     0.74 0.01     0.78 0.01    0.84 0.01    0.99 0.01
2 0.566  0.009     0.60 0.01     0.64 0.01    0.70  0.02   0.82 0.02
3 0.42   0.011     0.48 0.02     0.54 0.02    0.60 0.02    0.75 0.02
4 0.29   0.018     0.37 0.02     0.45 0.02    0.49  0.03   0.66 0.03
5 0.22   0.02      0.28 0.03     0.34 0.03    0.38 0.03    0.53 0.04 
6 0.17   0.03      0.22 0.03     0.25 0.03    0.30 0.03    0.42 0.04
