10  6.502500 0.142499
20  9.100000 0.128258
30  10.797500 0.207860
40  12.710000 0.256408 
50  14.0962500 0.336932 
60  15.697500 0.361550 
70  16.872500 0.299322
80  18.572500 0.460197 
90  20.0460000 0.547501 
100  20.277500 0.653878 
110  21.607500 0.624292 
120  23.077500 0.5676
