10  6.861837 0.054669 
20  9.390816 0.113880 
30  11.524898 0.142106 
40  13.345306 0.171390 
50  15.223673 0.191531 
60  16.258571 0.255227 
70  18.555714 0.313095 
80  20.062449 0.302895 
90  20.941429 0.307989 
100  22.477551 0.326796 
110  23.537143 0.415605 
120  25.031633 0.441517 
