10  7.642500 0.117541 
20  10.260000 0.166005 
30  12.695000 0.256756 
40  14.692500 0.332928 
50  16.427500 0.305910 
60  18.127500 0.446241 
70  19.537500 0.572002 
80  21.515000 0.542173 
90  23.075000 0.825420 
100  24.592500 0.727412 
110  26
120  28
